List Size,Algorithm,Comparisons
10000,QuickSelect,16228
10000,LazySelect,64144
10000,QuickSelect,21017
10000,LazySelect,55543
10000,QuickSelect,25326
10000,LazySelect,57572
10000,QuickSelect,32243
10000,LazySelect,57426
10000,QuickSelect,30370
10000,LazySelect,59940
10000,QuickSelect,17677
10000,LazySelect,59813
10000,QuickSelect,39917
10000,LazySelect,62616
10000,QuickSelect,39566
10000,LazySelect,63293
10000,QuickSelect,30037
10000,LazySelect,54382
10000,QuickSelect,18116
10000,LazySelect,45422
10000,QuickSelect,23353
10000,LazySelect,47386
10000,QuickSelect,30402
10000,LazySelect,56109
10000,QuickSelect,31916
10000,LazySelect,62654
10000,QuickSelect,34966
10000,LazySelect,62194
10000,QuickSelect,38277
10000,LazySelect,60499
10000,QuickSelect,40515
10000,LazySelect,60953
10000,QuickSelect,22917
10000,LazySelect,51751
10000,QuickSelect,23366
10000,LazySelect,65156
10000,QuickSelect,63682
10000,LazySelect,62143
10000,QuickSelect,19724
10000,LazySelect,58118
10000,QuickSelect,15426
10000,LazySelect,59255
10000,QuickSelect,47363
10000,LazySelect,58469
10000,QuickSelect,30546
10000,LazySelect,56304
10000,QuickSelect,31630
10000,LazySelect,62010
10000,QuickSelect,25988
10000,LazySelect,58796
10000,QuickSelect,29236
10000,LazySelect,61716
10000,QuickSelect,18941
10000,LazySelect,55384
10000,QuickSelect,38728
10000,LazySelect,64227
10000,QuickSelect,37035
10000,LazySelect,67149
10000,QuickSelect,17323
10000,LazySelect,55485
10000,QuickSelect,18009
10000,LazySelect,55084
10000,QuickSelect,39855
10000,LazySelect,61686
10000,QuickSelect,21897
10000,LazySelect,61772
10000,QuickSelect,23666
10000,LazySelect,59043
10000,QuickSelect,26838
10000,LazySelect,60854
10000,QuickSelect,39521
10000,LazySelect,58410
10000,QuickSelect,33188
10000,LazySelect,57045
10000,QuickSelect,31821
10000,LazySelect,60967
10000,QuickSelect,23252
10000,LazySelect,59670
10000,QuickSelect,34302
10000,LazySelect,62005
10000,QuickSelect,43407
10000,LazySelect,50579
10000,QuickSelect,33967
10000,LazySelect,56381
10000,QuickSelect,33675
10000,LazySelect,54947
10000,QuickSelect,26540
10000,LazySelect,63378
10000,QuickSelect,46843
10000,LazySelect,60879
10000,QuickSelect,17013
10000,LazySelect,62042
10000,QuickSelect,18728
10000,LazySelect,53896
10000,QuickSelect,21797
10000,LazySelect,52169
10000,QuickSelect,29582
10000,LazySelect,57460
10000,QuickSelect,35127
10000,LazySelect,58876
10000,QuickSelect,24914
10000,LazySelect,61769
10000,QuickSelect,48649
10000,LazySelect,57767
10000,QuickSelect,41623
10000,LazySelect,62853
10000,QuickSelect,33901
10000,LazySelect,43568
10000,QuickSelect,36027
10000,LazySelect,58986
10000,QuickSelect,34830
10000,LazySelect,64358
10000,QuickSelect,33910
10000,LazySelect,62033
10000,QuickSelect,30926
10000,LazySelect,53846
10000,QuickSelect,21532
10000,LazySelect,63045
10000,QuickSelect,24800
10000,LazySelect,60306
10000,QuickSelect,26636
10000,LazySelect,57281
10000,QuickSelect,22231
10000,LazySelect,61050
10000,QuickSelect,21597
10000,LazySelect,58463
10000,QuickSelect,26865
10000,LazySelect,55255
10000,QuickSelect,24262
10000,LazySelect,51531
10000,QuickSelect,29183
10000,LazySelect,55668
10000,QuickSelect,42678
10000,LazySelect,61565
10000,QuickSelect,34405
10000,LazySelect,55958
10000,QuickSelect,48315
10000,LazySelect,62526
10000,QuickSelect,27402
10000,LazySelect,62923
10000,QuickSelect,22767
10000,LazySelect,59542
10000,QuickSelect,14370
10000,LazySelect,53666
10000,QuickSelect,38804
10000,LazySelect,60846
10000,QuickSelect,30582
10000,LazySelect,58113
10000,QuickSelect,21214
10000,LazySelect,68586
10000,QuickSelect,33221
10000,LazySelect,56776
10000,QuickSelect,39753
10000,LazySelect,60378
10000,QuickSelect,43786
10000,LazySelect,58338
10000,QuickSelect,27868
10000,LazySelect,47401
10000,QuickSelect,27395
10000,LazySelect,60296
10000,QuickSelect,13158
10000,LazySelect,47354
10000,QuickSelect,20110
10000,LazySelect,57932
10000,QuickSelect,36442
10000,LazySelect,55645
10000,QuickSelect,22718
10000,LazySelect,41306
10000,QuickSelect,23896
10000,LazySelect,53243
10000,QuickSelect,36293
10000,LazySelect,54836
10000,QuickSelect,19557
10000,LazySelect,63213
10000,QuickSelect,17177
10000,LazySelect,63309
10000,QuickSelect,25059
10000,LazySelect,61315
10000,QuickSelect,21648
10000,LazySelect,46777
10000,QuickSelect,25691
10000,LazySelect,51954
10000,QuickSelect,31572
10000,LazySelect,51037
10000,QuickSelect,31534
10000,LazySelect,65503
10000,QuickSelect,34296
10000,LazySelect,57736
10000,QuickSelect,11227
10000,LazySelect,55540
10000,QuickSelect,38829
10000,LazySelect,54450
10000,QuickSelect,24291
10000,LazySelect,45699
10000,QuickSelect,21658
10000,LazySelect,63987
10000,QuickSelect,23156
10000,LazySelect,57700
10000,QuickSelect,44329
10000,LazySelect,62767
20000,QuickSelect,51539
20000,LazySelect,119438
20000,QuickSelect,72537
20000,LazySelect,102625
20000,QuickSelect,29453
20000,LazySelect,97731
20000,QuickSelect,49155
20000,LazySelect,105169
20000,QuickSelect,22600
20000,LazySelect,82517
20000,QuickSelect,47332
20000,LazySelect,102967
20000,QuickSelect,61935
20000,LazySelect,111772
20000,QuickSelect,44749
20000,LazySelect,107937
20000,QuickSelect,78621
20000,LazySelect,108429
20000,QuickSelect,70513
20000,LazySelect,109181
20000,QuickSelect,57272
20000,LazySelect,99493
20000,QuickSelect,112425
20000,LazySelect,111752
20000,QuickSelect,53807
20000,LazySelect,112502
20000,QuickSelect,77210
20000,LazySelect,108064
20000,QuickSelect,60507
20000,LazySelect,118835
20000,QuickSelect,68583
20000,LazySelect,118905
20000,QuickSelect,89010
20000,LazySelect,113927
20000,QuickSelect,32626
20000,LazySelect,119323
20000,QuickSelect,85299
20000,LazySelect,116670
20000,QuickSelect,59155
20000,LazySelect,123284
20000,QuickSelect,58855
20000,LazySelect,110662
20000,QuickSelect,95911
20000,LazySelect,118334
20000,QuickSelect,49272
20000,LazySelect,107849
20000,QuickSelect,36922
20000,LazySelect,110676
20000,QuickSelect,73797
20000,LazySelect,106244
20000,QuickSelect,40968
20000,LazySelect,114118
20000,QuickSelect,76611
20000,LazySelect,116601
20000,QuickSelect,56798
20000,LazySelect,118952
20000,QuickSelect,61817
20000,LazySelect,119333
20000,QuickSelect,38504
20000,LazySelect,108017
20000,QuickSelect,56250
20000,LazySelect,114998
