List Size,Algorithm,Comparisons
10000,QuickSelect,27927
10000,LazySelect,60425
10000,QuickSelect,25739
10000,LazySelect,61033
10000,QuickSelect,31720
10000,LazySelect,58754
10000,QuickSelect,23592
10000,LazySelect,61134
10000,QuickSelect,26916
10000,LazySelect,64363
10000,QuickSelect,37046
10000,LazySelect,61379
10000,QuickSelect,41900
10000,LazySelect,60559
10000,QuickSelect,40868
10000,LazySelect,47294
10000,QuickSelect,42733
10000,LazySelect,62542
10000,QuickSelect,14698
10000,LazySelect,62748
10000,QuickSelect,35373
10000,LazySelect,58790
10000,QuickSelect,45804
10000,LazySelect,54971
10000,QuickSelect,22005
10000,LazySelect,60600
10000,QuickSelect,15180
10000,LazySelect,44529
10000,QuickSelect,26095
10000,LazySelect,48762
10000,QuickSelect,29523
10000,LazySelect,55426
10000,QuickSelect,30805
10000,LazySelect,64011
10000,QuickSelect,14595
10000,LazySelect,57051
10000,QuickSelect,27818
10000,LazySelect,62620
10000,QuickSelect,25514
10000,LazySelect,64829
10000,QuickSelect,25102
10000,LazySelect,55170
10000,QuickSelect,18915
10000,LazySelect,65184
10000,QuickSelect,30003
10000,LazySelect,57359
10000,QuickSelect,26994
10000,LazySelect,56852
10000,QuickSelect,33252
10000,LazySelect,61785
10000,QuickSelect,48392
10000,LazySelect,62050
10000,QuickSelect,17591
10000,LazySelect,64004
10000,QuickSelect,44780
10000,LazySelect,59110
10000,QuickSelect,22900
10000,LazySelect,58905
10000,QuickSelect,34746
10000,LazySelect,57709
10000,QuickSelect,18002
10000,LazySelect,59269
10000,QuickSelect,47640
10000,LazySelect,63690
10000,QuickSelect,20717
10000,LazySelect,43089
10000,QuickSelect,26819
10000,LazySelect,56894
10000,QuickSelect,32749
10000,LazySelect,60429
10000,QuickSelect,41877
10000,LazySelect,44586
10000,QuickSelect,44852
10000,LazySelect,59845
10000,QuickSelect,27983
10000,LazySelect,57343
10000,QuickSelect,28033
10000,LazySelect,55601
10000,QuickSelect,21887
10000,LazySelect,55045
10000,QuickSelect,28747
10000,LazySelect,64997
10000,QuickSelect,23825
10000,LazySelect,59857
10000,QuickSelect,28787
10000,LazySelect,56500
10000,QuickSelect,53643
10000,LazySelect,59264
10000,QuickSelect,26480
10000,LazySelect,54046
10000,QuickSelect,46651
10000,LazySelect,57800
10000,QuickSelect,29466
10000,LazySelect,53927
10000,QuickSelect,44325
10000,LazySelect,61791
10000,QuickSelect,38194
10000,LazySelect,61902
10000,QuickSelect,40389
10000,LazySelect,57157
10000,QuickSelect,16928
10000,LazySelect,47851
10000,QuickSelect,20119
10000,LazySelect,55493
10000,QuickSelect,16107
10000,LazySelect,60563
10000,QuickSelect,38766
10000,LazySelect,53038
10000,QuickSelect,66409
10000,LazySelect,58245
10000,QuickSelect,18685
10000,LazySelect,54455
10000,QuickSelect,41237
10000,LazySelect,62232
10000,QuickSelect,22476
10000,LazySelect,58989
10000,QuickSelect,29585
10000,LazySelect,60833
10000,QuickSelect,28287
10000,LazySelect,60867
10000,QuickSelect,33634
10000,LazySelect,64395
10000,QuickSelect,37803
10000,LazySelect,62446
10000,QuickSelect,36893
10000,LazySelect,59891
10000,QuickSelect,25073
10000,LazySelect,60248
10000,QuickSelect,18257
10000,LazySelect,58330
10000,QuickSelect,33613
10000,LazySelect,62218
10000,QuickSelect,49630
10000,LazySelect,58903
10000,QuickSelect,24276
10000,LazySelect,54115
10000,QuickSelect,19649
10000,LazySelect,54126
10000,QuickSelect,47744
10000,LazySelect,59440
10000,QuickSelect,33622
10000,LazySelect,58595
10000,QuickSelect,26666
10000,LazySelect,58836
10000,QuickSelect,31897
10000,LazySelect,56904
10000,QuickSelect,22937
10000,LazySelect,59950
10000,QuickSelect,34958
10000,LazySelect,61053
10000,QuickSelect,19889
10000,LazySelect,56882
10000,QuickSelect,29015
10000,LazySelect,61190
10000,QuickSelect,31253
10000,LazySelect,61763
10000,QuickSelect,36073
10000,LazySelect,58980
10000,QuickSelect,37859
10000,LazySelect,57387
10000,QuickSelect,36212
10000,LazySelect,63118
10000,QuickSelect,29857
10000,LazySelect,60800
10000,QuickSelect,20813
10000,LazySelect,64836
10000,QuickSelect,18332
10000,LazySelect,60587
10000,QuickSelect,18308
10000,LazySelect,56902
10000,QuickSelect,27364
10000,LazySelect,58173
10000,QuickSelect,43861
10000,LazySelect,57254
10000,QuickSelect,13865
10000,LazySelect,45945
10000,QuickSelect,22746
10000,LazySelect,64946
10000,QuickSelect,33855
10000,LazySelect,63090
10000,QuickSelect,36261
10000,LazySelect,58259
10000,QuickSelect,19498
10000,LazySelect,55672
10000,QuickSelect,19342
10000,LazySelect,61030
10000,QuickSelect,27246
10000,LazySelect,62868
10000,QuickSelect,26718
10000,LazySelect,54709
10000,QuickSelect,24495
10000,LazySelect,56692
10000,QuickSelect,19418
10000,LazySelect,55650
10000,QuickSelect,24136
10000,LazySelect,58540
10000,QuickSelect,17918
10000,LazySelect,44100
10000,QuickSelect,19155
10000,LazySelect,55558
20000,QuickSelect,64118
20000,LazySelect,112836
20000,QuickSelect,91961
20000,LazySelect,120640
20000,QuickSelect,47177
20000,LazySelect,107926
20000,QuickSelect,39790
20000,LazySelect,103072
20000,QuickSelect,94684
20000,LazySelect,121106
20000,QuickSelect,48057
20000,LazySelect,114014
20000,QuickSelect,96388
20000,LazySelect,111771
20000,QuickSelect,36421
20000,LazySelect,108788
20000,QuickSelect,41569
20000,LazySelect,114655
20000,QuickSelect,29405
20000,LazySelect,104120
20000,QuickSelect,69542
20000,LazySelect,108665
20000,QuickSelect,52810
20000,LazySelect,112353
20000,QuickSelect,33224
20000,LazySelect,105185
20000,QuickSelect,59884
20000,LazySelect,117804
20000,QuickSelect,50347
20000,LazySelect,116827
20000,QuickSelect,63335
20000,LazySelect,106701
20000,QuickSelect,52503
20000,LazySelect,107984
20000,QuickSelect,56160
20000,LazySelect,117186
20000,QuickSelect,46893
20000,LazySelect,117800
20000,QuickSelect,68082
20000,LazySelect,115194
20000,QuickSelect,56748
20000,LazySelect,112718
20000,QuickSelect,53425
20000,LazySelect,107726
20000,QuickSelect,85677
20000,LazySelect,106867
20000,QuickSelect,39143
20000,LazySelect,104067
20000,QuickSelect,38475
20000,LazySelect,102669
20000,QuickSelect,56370
20000,LazySelect,105381
20000,QuickSelect,74253
20000,LazySelect,98987
20000,QuickSelect,79109
20000,LazySelect,96940
20000,QuickSelect,74096
20000,LazySelect,107613
20000,QuickSelect,75538
20000,LazySelect,114738
20000,QuickSelect,31138
20000,LazySelect,109523
20000,QuickSelect,76617
20000,LazySelect,115919
20000,QuickSelect,75320
20000,LazySelect,115712
20000,QuickSelect,53623
20000,LazySelect,119793
20000,QuickSelect,68742
20000,LazySelect,111053
20000,QuickSelect,91544
20000,LazySelect,112023
20000,QuickSelect,61003
20000,LazySelect,119536
20000,QuickSelect,59991
20000,LazySelect,103768
20000,QuickSelect,43221
20000,LazySelect,117674
20000,QuickSelect,64495
20000,LazySelect,100032
20000,QuickSelect,91229
20000,LazySelect,124784
20000,QuickSelect,36634
20000,LazySelect,119731
20000,QuickSelect,97052
20000,LazySelect,99354
20000,QuickSelect,61662
20000,LazySelect,114654
20000,QuickSelect,72365
20000,LazySelect,120774
20000,QuickSelect,89805
20000,LazySelect,116811
20000,QuickSelect,46383
20000,LazySelect,113797
20000,QuickSelect,61569
20000,LazySelect,107129
20000,QuickSelect,61750
20000,LazySelect,115914
20000,QuickSelect,55010
20000,LazySelect,82200
20000,QuickSelect,45299
20000,LazySelect,100836
20000,QuickSelect,61595
20000,LazySelect,108077
20000,QuickSelect,58450
20000,LazySelect,108810
20000,QuickSelect,101305
20000,LazySelect,114371
20000,QuickSelect,78546
20000,LazySelect,111148
20000,QuickSelect,86196
20000,LazySelect,111359
20000,QuickSelect,57430
20000,LazySelect,112879
20000,QuickSelect,76782
20000,LazySelect,110162
20000,QuickSelect,76338
20000,LazySelect,114707
20000,QuickSelect,53699
20000,LazySelect,121203
20000,QuickSelect,54974
20000,LazySelect,115174
20000,QuickSelect,101236
20000,LazySelect,107634
20000,QuickSelect,67660
20000,LazySelect,116397
20000,QuickSelect,66406
20000,LazySelect,96531
20000,QuickSelect,64653
20000,LazySelect,106147
20000,QuickSelect,55860
20000,LazySelect,114110
20000,QuickSelect,45282
20000,LazySelect,79964
20000,QuickSelect,86755
20000,LazySelect,119300
20000,QuickSelect,73943
20000,LazySelect,110069
20000,QuickSelect,57968
20000,LazySelect,98735
20000,QuickSelect,61929
20000,LazySelect,119724
20000,QuickSelect,56948
20000,LazySelect,105970
20000,QuickSelect,53022
20000,LazySelect,108795
20000,QuickSelect,75138
20000,LazySelect,118314
20000,QuickSelect,81838
20000,LazySelect,116259
20000,QuickSelect,75639
20000,LazySelect,120008
20000,QuickSelect,59156
20000,LazySelect,127012
20000,QuickSelect,43630
20000,LazySelect,105057
20000,QuickSelect,70490
20000,LazySelect,106322
20000,QuickSelect,69426
20000,LazySelect,115316
20000,QuickSelect,54847
20000,LazySelect,112832
20000,QuickSelect,84132
20000,LazySelect,109286
20000,QuickSelect,52000
20000,LazySelect,111611
20000,QuickSelect,36448
20000,LazySelect,118763
20000,QuickSelect,32355
20000,LazySelect,116947
20000,QuickSelect,91568
20000,LazySelect,107732
20000,QuickSelect,43181
