List Size,Algorithm,Comparisons
200000,QuickSelect,1139736
200000,LazySelect,726813
200000,QuickSelect,711227
200000,LazySelect,703901
200000,QuickSelect,482220
200000,LazySelect,791430
200000,QuickSelect,343027
200000,LazySelect,795004
200000,QuickSelect,570814
200000,LazySelect,755919
200000,QuickSelect,438300
200000,LazySelect,606055
200000,QuickSelect,319054
200000,LazySelect,650357
200000,QuickSelect,477555
200000,LazySelect,602329
200000,QuickSelect,589604
200000,LazySelect,724170
200000,QuickSelect,1164393
200000,LazySelect,777432
200000,QuickSelect,556991
200000,LazySelect,720525
200000,QuickSelect,662264
200000,LazySelect,472309
200000,QuickSelect,511992
200000,LazySelect,710169
200000,QuickSelect,371251
200000,LazySelect,687027
200000,QuickSelect,584278
200000,LazySelect,636782
200000,QuickSelect,743216
200000,LazySelect,726046
200000,QuickSelect,376418
200000,LazySelect,736287
200000,QuickSelect,544951
200000,LazySelect,759683
200000,QuickSelect,1040433
200000,LazySelect,710012
200000,QuickSelect,711939
200000,LazySelect,702574
200000,QuickSelect,323317
200000,LazySelect,666808
200000,QuickSelect,927479
200000,LazySelect,774254
200000,QuickSelect,657224
200000,LazySelect,686305
200000,QuickSelect,720189
200000,LazySelect,747973
200000,QuickSelect,534911
200000,LazySelect,648383
200000,QuickSelect,465236
200000,LazySelect,765233
200000,QuickSelect,617485
200000,LazySelect,705252
200000,QuickSelect,534211
200000,LazySelect,651642
200000,QuickSelect,504563
200000,LazySelect,790141
200000,QuickSelect,333557
200000,LazySelect,814108
200000,QuickSelect,1012285
200000,LazySelect,805778
200000,QuickSelect,570723
200000,LazySelect,630302
200000,QuickSelect,389225
200000,LazySelect,524930
200000,QuickSelect,393358
200000,LazySelect,730995
200000,QuickSelect,645230
200000,LazySelect,768974
200000,QuickSelect,329375
200000,LazySelect,611395
200000,QuickSelect,644908
200000,LazySelect,709859
200000,QuickSelect,396596
200000,LazySelect,705596
200000,QuickSelect,595396
200000,LazySelect,655439
200000,QuickSelect,861430
200000,LazySelect,754719
200000,QuickSelect,666694
200000,LazySelect,715764
200000,QuickSelect,282488
200000,LazySelect,695628
200000,QuickSelect,757257
200000,LazySelect,694110
200000,QuickSelect,1154436
200000,LazySelect,764086
200000,QuickSelect,537427
200000,LazySelect,782489
200000,QuickSelect,1062072
200000,LazySelect,760194
200000,QuickSelect,816977
200000,LazySelect,557241
200000,QuickSelect,710786
200000,LazySelect,728089
200000,QuickSelect,453695
200000,LazySelect,680236
200000,QuickSelect,893836
200000,LazySelect,721614
200000,QuickSelect,579458
200000,LazySelect,671329
200000,QuickSelect,541334
200000,LazySelect,704323
200000,QuickSelect,864134
200000,LazySelect,752606
200000,QuickSelect,647342
200000,LazySelect,709963
200000,QuickSelect,345010
200000,LazySelect,803300
200000,QuickSelect,389911
200000,LazySelect,675395
200000,QuickSelect,591367
200000,LazySelect,797348
200000,QuickSelect,1194570
200000,LazySelect,754693
200000,QuickSelect,382080
200000,LazySelect,637037
200000,QuickSelect,603544
200000,LazySelect,657172
200000,QuickSelect,465381
200000,LazySelect,763176
200000,QuickSelect,544757
200000,LazySelect,769234
200000,QuickSelect,821848
200000,LazySelect,676303
200000,QuickSelect,627252
200000,LazySelect,673250
200000,QuickSelect,318917
200000,LazySelect,807305
200000,QuickSelect,619933
200000,LazySelect,773440
200000,QuickSelect,819685
200000,LazySelect,678678
200000,QuickSelect,838101
200000,LazySelect,649913
200000,QuickSelect,769012
200000,LazySelect,771708
200000,QuickSelect,592648
200000,LazySelect,794613
200000,QuickSelect,897224
200000,LazySelect,744064
200000,QuickSelect,587349
200000,LazySelect,670188
200000,QuickSelect,393821
200000,LazySelect,608893
200000,QuickSelect,401437
200000,LazySelect,746245
200000,QuickSelect,492161
200000,LazySelect,634671
200000,QuickSelect,704491
200000,LazySelect,651593
200000,QuickSelect,446374
200000,LazySelect,793621
200000,QuickSelect,576909
200000,LazySelect,656273
200000,QuickSelect,613620
200000,LazySelect,746864
200000,QuickSelect,592524
200000,LazySelect,688995
200000,QuickSelect,278215
200000,LazySelect,558572
200000,QuickSelect,530848
200000,LazySelect,793615
200000,QuickSelect,545103
200000,LazySelect,795429
200000,QuickSelect,376622
200000,LazySelect,641742
200000,QuickSelect,832325
200000,LazySelect,657936
200000,QuickSelect,577664
200000,LazySelect,688459
200000,QuickSelect,596318
200000,LazySelect,715940
200000,QuickSelect,601821
200000,LazySelect,797849
200000,QuickSelect,573729
200000,LazySelect,837810
200000,QuickSelect,493283
200000,LazySelect,651955
200000,QuickSelect,751788
200000,LazySelect,712056
200000,QuickSelect,560130
200000,LazySelect,766044
200000,QuickSelect,1263764
200000,LazySelect,759017
200000,QuickSelect,772886
200000,LazySelect,672138
200000,QuickSelect,463714
200000,LazySelect,795562
200000,QuickSelect,867542
200000,LazySelect,675041
200000,QuickSelect,394287
200000,LazySelect,674319
200000,QuickSelect,1038221
200000,LazySelect,746869
200000,QuickSelect,688226
200000,LazySelect,784363
200000,QuickSelect,389780
200000,LazySelect,703991
400000,QuickSelect,782272
400000,LazySelect,1213644
400000,QuickSelect,1354135
400000,LazySelect,1330441
400000,QuickSelect,1192766
400000,LazySelect,1405992
400000,QuickSelect,950121
400000,LazySelect,1191186
400000,QuickSelect,1187343
400000,LazySelect,1531129
400000,QuickSelect,714740
400000,LazySelect,928244
400000,QuickSelect,1268907
400000,LazySelect,1525039
400000,QuickSelect,1041029
400000,LazySelect,1361836
400000,QuickSelect,1166432
400000,LazySelect,1395357
400000,QuickSelect,1137080
400000,LazySelect,1361372
400000,QuickSelect,1025848
400000,LazySelect,1166010
400000,QuickSelect,543325
400000,LazySelect,1278575
400000,QuickSelect,1409647
400000,LazySelect,1461217
400000,QuickSelect,1602632
400000,LazySelect,1333464
400000,QuickSelect,1638939
400000,LazySelect,1494679
400000,QuickSelect,1842678
400000,LazySelect,1498367
400000,QuickSelect,2273044
400000,LazySelect,1342766
400000,QuickSelect,1359966
400000,LazySelect,1333084
400000,QuickSelect,1083863
400000,LazySelect,1369138
400000,QuickSelect,749858
400000,LazySelect,1199558
400000,QuickSelect,755100
400000,LazySelect,1541720
400000,QuickSelect,1241389
400000,LazySelect,1405814
400000,QuickSelect,1424822
400000,LazySelect,1427390
400000,QuickSelect,512745
400000,LazySelect,1358972
400000,QuickSelect,902411
400000,LazySelect,1263924
400000,QuickSelect,925199
400000,LazySelect,1207676
400000,QuickSelect,982691
400000,LazySelect,1424465
400000,QuickSelect,930232
400000,LazySelect,1399414
400000,QuickSelect,1104311
400000,LazySelect,1338933
400000,QuickSelect,1419838
400000,LazySelect,1520176
400000,QuickSelect,1211081
400000,LazySelect,1366817
400000,QuickSelect,1917921
400000,LazySelect,1276860
400000,QuickSelect,1357408
400000,LazySelect,1250602
400000,QuickSelect,1274924
400000,LazySelect,1419649
400000,QuickSelect,1976905
400000,LazySelect,1283845
400000,QuickSelect,1738255
400000,LazySelect,1251219
400000,QuickSelect,1806994
400000,LazySelect,1365526
400000,QuickSelect,1136702
400000,LazySelect,1239462
400000,QuickSelect,1872463
400000,LazySelect,1318426
400000,QuickSelect,1397935
400000,LazySelect,1176309
400000,QuickSelect,1439895
400000,LazySelect,1436644
400000,QuickSelect,1813712
400000,LazySelect,1374799
400000,QuickSelect,716846
400000,LazySelect,971789
400000,QuickSelect,591240
400000,LazySelect,1499097
400000,QuickSelect,1572122
400000,LazySelect,1433650
400000,QuickSelect,1613238
400000,LazySelect,1365968
400000,QuickSelect,1656804
400000,LazySelect,1360889
400000,QuickSelect,1177716
400000,LazySelect,1340326
400000,QuickSelect,2151550
400000,LazySelect,1509528
400000,QuickSelect,976957
400000,LazySelect,1478825
400000,QuickSelect,1373299
400000,LazySelect,1451143
400000,QuickSelect,1268040
400000,LazySelect,1293690
400000,QuickSelect,1411859
400000,LazySelect,1268792
400000,QuickSelect,868812
400000,LazySelect,1531018
400000,QuickSelect,570498
400000,LazySelect,923764
400000,QuickSelect,1644661
400000,LazySelect,1235411
400000,QuickSelect,844974
400000,LazySelect,1468266
400000,QuickSelect,709640
400000,LazySelect,885118
400000,QuickSelect,1830924
400000,LazySelect,1275470
400000,QuickSelect,1974456
400000,LazySelect,1508780
400000,QuickSelect,1149789
400000,LazySelect,1340347
400000,QuickSelect,927054
400000,LazySelect,1524104
400000,QuickSelect,712728
400000,LazySelect,1522508
400000,QuickSelect,687659
400000,LazySelect,1217191
400000,QuickSelect,545478
400000,LazySelect,1196768
400000,QuickSelect,1173466
400000,LazySelect,1339452
400000,QuickSelect,1084762
400000,LazySelect,1538002
400000,QuickSelect,953397
400000,LazySelect,1349313
400000,QuickSelect,1074266
400000,LazySelect,1479019
400000,QuickSelect,1127751
400000,LazySelect,1334498
400000,QuickSelect,714575
400000,LazySelect,1436220
400000,QuickSelect,1501281
400000,LazySelect,1268915
400000,QuickSelect,894828
400000,LazySelect,1481766
400000,QuickSelect,1010337
400000,LazySelect,1459664
400000,QuickSelect,1165128
400000,LazySelect,1532965
400000,QuickSelect,1736550
400000,LazySelect,1239229
400000,QuickSelect,774218
400000,LazySelect,1475816
400000,QuickSelect,1390153
400000,LazySelect,1247317
400000,QuickSelect,1193046
400000,LazySelect,946684
400000,QuickSelect,1410089
400000,LazySelect,1301717
400000,QuickSelect,1392183
400000,LazySelect,1309812
400000,QuickSelect,1343427
400000,LazySelect,1321092
400000,QuickSelect,1133084
400000,LazySelect,1326711
400000,QuickSelect,1344780
400000,LazySelect,1042652
400000,QuickSelect,1632260
400000,LazySelect,1291645
400000,QuickSelect,1660966
400000,LazySelect,1270281
400000,QuickSelect,1018207
400000,LazySelect,1235771
400000,QuickSelect,1020841
400000,LazySelect,1285066
400000,QuickSelect,2242406
400000,LazySelect,1511362
400000,QuickSelect,889158
400000,LazySelect,1538102
400000,QuickSelect,1214693
400000,LazySelect,1372678
400000,QuickSelect,1301833
400000,LazySelect,1435678
400000,QuickSelect,2003699
400000,LazySelect,1172609
400000,QuickSelect,1125355
400000,LazySelect,1507983
400000,QuickSelect,1062442
400000,LazySelect,1212046
400000,QuickSelect,1728166
400000,LazySelect,1473422
400000,QuickSelect,2115261
400000,LazySelect,1422566
400000,QuickSelect,1303566
400000,LazySelect,1214650
400000,QuickSelect,1489409
400000,LazySelect,1439788
400000,QuickSelect,1664560
400000,LazySelect,1496879
600000,QuickSelect,2550094
600000,LazySelect,1734619
600000,QuickSelect,1184281
