List Size,Algorithm,Comparisons
2000,QuickSelect,4277
2000,LazySelect,9355
2000,QuickSelect,6298
2000,LazySelect,10795
2000,QuickSelect,6413
2000,LazySelect,11678
2000,QuickSelect,6869
2000,LazySelect,10997
2000,QuickSelect,6009
2000,LazySelect,12381
2000,QuickSelect,2952
2000,LazySelect,8346
2000,QuickSelect,6030
2000,LazySelect,11497
2000,QuickSelect,2233
2000,LazySelect,8122
2000,QuickSelect,4331
2000,LazySelect,10338
2000,QuickSelect,6138
2000,LazySelect,10439
2000,QuickSelect,8006
2000,LazySelect,11593
2000,QuickSelect,5987
2000,LazySelect,10405
2000,QuickSelect,7424
2000,LazySelect,11157
2000,QuickSelect,4300
2000,LazySelect,10410
2000,QuickSelect,4498
2000,LazySelect,9501
2000,QuickSelect,4634
2000,LazySelect,9519
2000,QuickSelect,6825
2000,LazySelect,7796
2000,QuickSelect,5776
2000,LazySelect,8433
2000,QuickSelect,7171
2000,LazySelect,11452
2000,QuickSelect,2552
2000,LazySelect,7413
2000,QuickSelect,10851
2000,LazySelect,10781
2000,QuickSelect,2627
2000,LazySelect,8609
2000,QuickSelect,3062
2000,LazySelect,9879
2000,QuickSelect,5485
2000,LazySelect,12053
2000,QuickSelect,4994
2000,LazySelect,7633
2000,QuickSelect,5213
2000,LazySelect,11070
2000,QuickSelect,8111
2000,LazySelect,12301
2000,QuickSelect,6448
2000,LazySelect,11711
2000,QuickSelect,9219
2000,LazySelect,11546
2000,QuickSelect,4505
2000,LazySelect,10207
2000,QuickSelect,8350
2000,LazySelect,12619
2000,QuickSelect,5286
2000,LazySelect,12187
2000,QuickSelect,8574
2000,LazySelect,10052
2000,QuickSelect,4909
2000,LazySelect,11309
2000,QuickSelect,5191
2000,LazySelect,10973
2000,QuickSelect,6411
2000,LazySelect,11192
2000,QuickSelect,5882
2000,LazySelect,12597
2000,QuickSelect,8786
2000,LazySelect,12301
2000,QuickSelect,4336
2000,LazySelect,11943
2000,QuickSelect,7531
2000,LazySelect,12260
2000,QuickSelect,5570
2000,LazySelect,10868
2000,QuickSelect,4255
2000,LazySelect,10067
2000,QuickSelect,6337
2000,LazySelect,11830
2000,QuickSelect,7088
2000,LazySelect,12418
2000,QuickSelect,4984
2000,LazySelect,11950
2000,QuickSelect,3104
2000,LazySelect,11445
2000,QuickSelect,7002
2000,LazySelect,12241
2000,QuickSelect,5849
2000,LazySelect,7944
2000,QuickSelect,4534
2000,LazySelect,11500
2000,QuickSelect,8362
2000,LazySelect,10778
2000,QuickSelect,8282
2000,LazySelect,11879
2000,QuickSelect,5294
2000,LazySelect,12031
2000,QuickSelect,4230
2000,LazySelect,12003
2000,QuickSelect,3762
2000,LazySelect,11092
2000,QuickSelect,4272
2000,LazySelect,12129
2000,QuickSelect,4173
2000,LazySelect,11591
2000,QuickSelect,4927
2000,LazySelect,10214
2000,QuickSelect,4691
2000,LazySelect,12673
2000,QuickSelect,6532
2000,LazySelect,14018
2000,QuickSelect,7352
2000,LazySelect,9317
2000,QuickSelect,4788
2000,LazySelect,9484
2000,QuickSelect,4139
2000,LazySelect,7837
2000,QuickSelect,11012
2000,LazySelect,11549
2000,QuickSelect,3203
2000,LazySelect,11447
2000,QuickSelect,8717
2000,LazySelect,11966
2000,QuickSelect,6601
2000,LazySelect,10376
2000,QuickSelect,3869
2000,LazySelect,9831
2000,QuickSelect,7948
2000,LazySelect,12771
2000,QuickSelect,7339
2000,LazySelect,12486
2000,QuickSelect,6150
2000,LazySelect,11336
2000,QuickSelect,7156
2000,LazySelect,10573
2000,QuickSelect,2699
2000,LazySelect,9353
2000,QuickSelect,4221
2000,LazySelect,11557
2000,QuickSelect,2562
2000,LazySelect,10523
2000,QuickSelect,4446
2000,LazySelect,12079
2000,QuickSelect,6177
2000,LazySelect,9030
2000,QuickSelect,5982
2000,LazySelect,9711
2000,QuickSelect,6372
2000,LazySelect,12539
2000,QuickSelect,5608
2000,LazySelect,11306
2000,QuickSelect,4046
2000,LazySelect,11548
2000,QuickSelect,5337
2000,LazySelect,10060
2000,QuickSelect,4994
2000,LazySelect,12200
2000,QuickSelect,4752
2000,LazySelect,10638
2000,QuickSelect,5653
2000,LazySelect,11628
2000,QuickSelect,5733
2000,LazySelect,11195
2000,QuickSelect,9392
2000,LazySelect,11232
2000,QuickSelect,5516
2000,LazySelect,11586
2000,QuickSelect,9664
2000,LazySelect,12858
2000,QuickSelect,4427
2000,LazySelect,10703
2000,QuickSelect,2847
2000,LazySelect,8220
2000,QuickSelect,8625
2000,LazySelect,10944
2000,QuickSelect,9206
2000,LazySelect,13059
2000,QuickSelect,3793
2000,LazySelect,7155
2000,QuickSelect,3966
2000,LazySelect,9973
2000,QuickSelect,9099
2000,LazySelect,10914
2000,QuickSelect,3838
2000,LazySelect,11324
2000,QuickSelect,4314
2000,LazySelect,10257
2000,QuickSelect,2513
2000,LazySelect,8719
2000,QuickSelect,6262
2000,LazySelect,11533
2000,QuickSelect,6351
2000,LazySelect,12732
4000,QuickSelect,12991
4000,LazySelect,19567
4000,QuickSelect,14622
4000,LazySelect,22992
4000,QuickSelect,11330
4000,LazySelect,19107
4000,QuickSelect,10683
4000,LazySelect,18888
4000,QuickSelect,14391
4000,LazySelect,20870
4000,QuickSelect,9123
4000,LazySelect,21540
4000,QuickSelect,7134
4000,LazySelect,25184
4000,QuickSelect,6990
4000,LazySelect,22442
4000,QuickSelect,7241
4000,LazySelect,21966
4000,QuickSelect,7800
4000,LazySelect,21824
4000,QuickSelect,17282
4000,LazySelect,21147
4000,QuickSelect,12547
4000,LazySelect,21935
4000,QuickSelect,7244
4000,LazySelect,17342
4000,QuickSelect,9113
4000,LazySelect,17379
4000,QuickSelect,11983
4000,LazySelect,19118
4000,QuickSelect,13131
4000,LazySelect,20967
4000,QuickSelect,12474
4000,LazySelect,24457
4000,QuickSelect,12555
4000,LazySelect,18168
4000,QuickSelect,7583
4000,LazySelect,22095
4000,QuickSelect,15215
4000,LazySelect,21101
4000,QuickSelect,8758
4000,LazySelect,23168
4000,QuickSelect,11185
4000,LazySelect,22153
4000,QuickSelect,9461
4000,LazySelect,23210
4000,QuickSelect,9463
4000,LazySelect,23653
4000,QuickSelect,18501
4000,LazySelect,19915
4000,QuickSelect,14028
4000,LazySelect,23702
4000,QuickSelect,10483
4000,LazySelect,20283
4000,QuickSelect,8956
4000,LazySelect,21188
4000,QuickSelect,7632
4000,LazySelect,23802
4000,QuickSelect,11778
4000,LazySelect,22754
4000,QuickSelect,12862
4000,LazySelect,22968
4000,QuickSelect,4151
4000,LazySelect,17926
4000,QuickSelect,5989
4000,LazySelect,18283
4000,QuickSelect,16904
4000,LazySelect,22225
4000,QuickSelect,4943
4000,LazySelect,15087
4000,QuickSelect,14086
4000,LazySelect,18972
4000,QuickSelect,10212
4000,LazySelect,14101
4000,QuickSelect,10091
4000,LazySelect,23310
4000,QuickSelect,19278
4000,LazySelect,20112
4000,QuickSelect,5642
4000,LazySelect,22672
4000,QuickSelect,4911
4000,LazySelect,17751
4000,QuickSelect,12647
4000,LazySelect,21551
4000,QuickSelect,17676
4000,LazySelect,20562
4000,QuickSelect,13538
4000,LazySelect,21951
4000,QuickSelect,9639
4000,LazySelect,22759
4000,QuickSelect,12635
4000,LazySelect,19971
4000,QuickSelect,9191
4000,LazySelect,16395
4000,QuickSelect,6061
4000,LazySelect,22747
4000,QuickSelect,8477
4000,LazySelect,23308
4000,QuickSelect,12534
4000,LazySelect,23476
4000,QuickSelect,9034
4000,LazySelect,21002
4000,QuickSelect,13210
4000,LazySelect,21936
4000,QuickSelect,23843
4000,LazySelect,21988
4000,QuickSelect,17187
4000,LazySelect,22209
4000,QuickSelect,8222
4000,LazySelect,16614
4000,QuickSelect,7414
4000,LazySelect,20521
4000,QuickSelect,13011
4000,LazySelect,24043
4000,QuickSelect,8047
4000,LazySelect,22118
4000,QuickSelect,11954
4000,LazySelect,19545
4000,QuickSelect,14518
4000,LazySelect,22960
4000,QuickSelect,8097
4000,LazySelect,17389
4000,QuickSelect,11294
4000,LazySelect,20519
4000,QuickSelect,7516
4000,LazySelect,21639
4000,QuickSelect,7305
4000,LazySelect,16803
4000,QuickSelect,11537
4000,LazySelect,21224
4000,QuickSelect,13793
4000,LazySelect,23085
4000,QuickSelect,10774
4000,LazySelect,22913
4000,QuickSelect,17854
4000,LazySelect,23798
4000,QuickSelect,4904
4000,LazySelect,18202
4000,QuickSelect,8634
4000,LazySelect,21677
4000,QuickSelect,7704
4000,LazySelect,24755
4000,QuickSelect,12573
4000,LazySelect,21572
4000,QuickSelect,9675
4000,LazySelect,22489
4000,QuickSelect,9146
4000,LazySelect,22802
4000,QuickSelect,10858
4000,LazySelect,23295
4000,QuickSelect,9138
4000,LazySelect,22585
4000,QuickSelect,11144
4000,LazySelect,15120
4000,QuickSelect,9423
4000,LazySelect,24177
4000,QuickSelect,12551
4000,LazySelect,16345
4000,QuickSelect,14358
4000,LazySelect,22149
4000,QuickSelect,13343
4000,LazySelect,19755
4000,QuickSelect,5640
4000,LazySelect,17774
4000,QuickSelect,13834
4000,LazySelect,20714
4000,QuickSelect,9178
4000,LazySelect,21642
4000,QuickSelect,11808
4000,LazySelect,20403
4000,QuickSelect,11784
4000,LazySelect,22587
4000,QuickSelect,13683
4000,LazySelect,21355
4000,QuickSelect,6831
4000,LazySelect,19265
4000,QuickSelect,10621
4000,LazySelect,21036
4000,QuickSelect,8115
4000,LazySelect,21216
4000,QuickSelect,11312
4000,LazySelect,23384
4000,QuickSelect,10836
4000,LazySelect,20816
4000,QuickSelect,15772
4000,LazySelect,23018
4000,QuickSelect,10920
4000,LazySelect,23418
4000,QuickSelect,17103
4000,LazySelect,23201
4000,QuickSelect,10313
4000,LazySelect,20836
4000,QuickSelect,9538
4000,LazySelect,14370
4000,QuickSelect,11332
4000,LazySelect,22668
4000,QuickSelect,6836
4000,LazySelect,19244
4000,QuickSelect,14916
4000,LazySelect,20300
6000,QuickSelect,13967
6000,LazySelect,32104
6000,QuickSelect,6802
6000,LazySelect,20219
6000,QuickSelect,11672
6000,LazySelect,29541
6000,QuickSelect,22637
6000,LazySelect,32334
6000,QuickSelect,16996
6000,LazySelect,31525
6000,QuickSelect,17731
6000,LazySelect,33345
6000,QuickSelect,13671
6000,LazySelect,29451
6000,QuickSelect,9827
6000,LazySelect,28486
6000,QuickSelect,20043
6000,LazySelect,30886
6000,QuickSelect,22563
6000,LazySelect,31339
6000,QuickSelect,24292
6000,LazySelect,32000
6000,QuickSelect,17781
6000,LazySelect,33316
6000,QuickSelect,28375
6000,LazySelect,31541
6000,QuickSelect,15189
6000,LazySelect,30493
6000,QuickSelect,31622
6000,LazySelect,34792
6000,QuickSelect,16444
6000,LazySelect,33653
6000,QuickSelect,16053
6000,LazySelect,30846
6000,QuickSelect,24844
6000,LazySelect,33641
6000,QuickSelect,30564
6000,LazySelect,31905
6000,QuickSelect,13993
6000,LazySelect,34962
6000,QuickSelect,11890
6000,LazySelect,27676
6000,QuickSelect,9080
6000,LazySelect,30812
6000,QuickSelect,8632
6000,LazySelect,34969
6000,QuickSelect,25341
6000,LazySelect,28268
6000,QuickSelect,29878
6000,LazySelect,30736
6000,QuickSelect,14182
6000,LazySelect,36235
6000,QuickSelect,22377
6000,LazySelect,30925
6000,QuickSelect,13026
6000,LazySelect,36233
6000,QuickSelect,20806
6000,LazySelect,30021
6000,QuickSelect,18696
6000,LazySelect,32239
6000,QuickSelect,12410
6000,LazySelect,29699
6000,QuickSelect,19068
6000,LazySelect,33032
6000,QuickSelect,18686
6000,LazySelect,31826
6000,QuickSelect,8990
6000,LazySelect,27123
6000,QuickSelect,15529
6000,LazySelect,28993
6000,QuickSelect,26096
6000,LazySelect,33762
6000,QuickSelect,10619
6000,LazySelect,30552
6000,QuickSelect,11504
6000,LazySelect,30698
6000,QuickSelect,17859
6000,LazySelect,33385
6000,QuickSelect,11602
6000,LazySelect,31108
6000,QuickSelect,25702
6000,LazySelect,33940
6000,QuickSelect,14324
6000,LazySelect,31300
6000,QuickSelect,12075
6000,LazySelect,26717
6000,QuickSelect,13271
6000,LazySelect,30844
6000,QuickSelect,13997
6000,LazySelect,33462
6000,QuickSelect,15024
6000,LazySelect,22966
6000,QuickSelect,14467
6000,LazySelect,21004
6000,QuickSelect,18235
6000,LazySelect,31282
6000,QuickSelect,11825
6000,LazySelect,32497
6000,QuickSelect,9834
6000,LazySelect,26096
6000,QuickSelect,13984
6000,LazySelect,30484
6000,QuickSelect,15412
6000,LazySelect,28519
6000,QuickSelect,14373
6000,LazySelect,32789
6000,QuickSelect,14918
6000,LazySelect,29952
6000,QuickSelect,16170
6000,LazySelect,32983
6000,QuickSelect,20149
6000,LazySelect,28389
6000,QuickSelect,18609
6000,LazySelect,33884
6000,QuickSelect,14334
6000,LazySelect,29139
6000,QuickSelect,17509
6000,LazySelect,30434
6000,QuickSelect,14409
6000,LazySelect,30892
6000,QuickSelect,36428
6000,LazySelect,31339
6000,QuickSelect,15256
6000,LazySelect,29326
6000,QuickSelect,7869
6000,LazySelect,22958
6000,QuickSelect,7554
6000,LazySelect,24752
6000,QuickSelect,16116
6000,LazySelect,29957
6000,QuickSelect,27182
6000,LazySelect,33272
6000,QuickSelect,14923
6000,LazySelect,25109
6000,QuickSelect,15366
6000,LazySelect,34449
6000,QuickSelect,13577
6000,LazySelect,28419
6000,QuickSelect,14370
6000,LazySelect,31066
6000,QuickSelect,14878
6000,LazySelect,22018
6000,QuickSelect,14704
6000,LazySelect,32046
6000,QuickSelect,20720
6000,LazySelect,30964
6000,QuickSelect,14228
6000,LazySelect,30458
6000,QuickSelect,15165
6000,LazySelect,31430
6000,QuickSelect,15261
6000,LazySelect,29039
6000,QuickSelect,24437
6000,LazySelect,31502
6000,QuickSelect,9760
6000,LazySelect,31145
6000,QuickSelect,26065
6000,LazySelect,29311
6000,QuickSelect,21003
6000,LazySelect,35093
6000,QuickSelect,25109
6000,LazySelect,32213
6000,QuickSelect,11819
6000,LazySelect,33221
6000,QuickSelect,18741
6000,LazySelect,30301
6000,QuickSelect,16854
6000,LazySelect,29301
6000,QuickSelect,20181
6000,LazySelect,30155
6000,QuickSelect,27605
6000,LazySelect,31140
6000,QuickSelect,23350
6000,LazySelect,33321
6000,QuickSelect,28419
6000,LazySelect,33747
6000,QuickSelect,16372
6000,LazySelect,30690
6000,QuickSelect,19057
6000,LazySelect,33122
6000,QuickSelect,28535
6000,LazySelect,34506
6000,QuickSelect,10989
6000,LazySelect,20708
6000,QuickSelect,31704
6000,LazySelect,32327
6000,QuickSelect,12450
6000,LazySelect,27144
6000,QuickSelect,21818
6000,LazySelect,33598
6000,QuickSelect,28432
6000,LazySelect,33402
6000,QuickSelect,23302
6000,LazySelect,32674
6000,QuickSelect,15340
6000,LazySelect,26920
6000,QuickSelect,15536
6000,LazySelect,32237
6000,QuickSelect,17059
6000,LazySelect,31656
8000,QuickSelect,16690
8000,LazySelect,41703
8000,QuickSelect,18339
8000,LazySelect,44341
8000,QuickSelect,31061
8000,LazySelect,34127
8000,QuickSelect,25091
8000,LazySelect,43203
8000,QuickSelect,28359
8000,LazySelect,34959
8000,QuickSelect,27730
8000,LazySelect,35849
8000,QuickSelect,37277
8000,LazySelect,39900
8000,QuickSelect,26751
8000,LazySelect,37928
8000,QuickSelect,10420
8000,LazySelect,32194
8000,QuickSelect,26011
8000,LazySelect,36815
8000,QuickSelect,21969
8000,LazySelect,42156
8000,QuickSelect,12675
8000,LazySelect,43225
8000,QuickSelect,16503
8000,LazySelect,40458
8000,QuickSelect,27352
8000,LazySelect,39414
8000,QuickSelect,32730
8000,LazySelect,42102
8000,QuickSelect,33077
8000,LazySelect,38687
8000,QuickSelect,26641
8000,LazySelect,41845
8000,QuickSelect,26124
8000,LazySelect,41141
8000,QuickSelect,22167
8000,LazySelect,40688
8000,QuickSelect,20808
8000,LazySelect,42910
8000,QuickSelect,16641
8000,LazySelect,36879
8000,QuickSelect,39290
8000,LazySelect,42549
8000,QuickSelect,14628
8000,LazySelect,40991
8000,QuickSelect,20920
8000,LazySelect,40385
8000,QuickSelect,12387
8000,LazySelect,32930
8000,QuickSelect,27536
8000,LazySelect,41440
8000,QuickSelect,18683
8000,LazySelect,27316
8000,QuickSelect,21367
8000,LazySelect,44042
8000,QuickSelect,38938
8000,LazySelect,40444
8000,QuickSelect,19868
8000,LazySelect,41661
8000,QuickSelect,22898
8000,LazySelect,41736
8000,QuickSelect,28917
8000,LazySelect,44818
8000,QuickSelect,26342
8000,LazySelect,44748
8000,QuickSelect,23287
8000,LazySelect,39093
8000,QuickSelect,14550
8000,LazySelect,38986
8000,QuickSelect,22120
8000,LazySelect,42664
8000,QuickSelect,14592
8000,LazySelect,36279
8000,QuickSelect,27168
8000,LazySelect,41243
8000,QuickSelect,10050
8000,LazySelect,41456
8000,QuickSelect,28559
8000,LazySelect,38867
8000,QuickSelect,17063
8000,LazySelect,44302
8000,QuickSelect,24071
8000,LazySelect,36777
8000,QuickSelect,13733
8000,LazySelect,27528
8000,QuickSelect,27366
8000,LazySelect,42548
8000,QuickSelect,23129
8000,LazySelect,40442
8000,QuickSelect,33743
8000,LazySelect,39149
8000,QuickSelect,32615
8000,LazySelect,41348
8000,QuickSelect,24535
8000,LazySelect,41731
