List Size,Algorithm,Comparisons
50000,QuickSelect,106266
50000,LazySelect,189152
50000,QuickSelect,242210
50000,LazySelect,207892
50000,QuickSelect,147281
50000,LazySelect,202099
50000,QuickSelect,112798
50000,LazySelect,207386
50000,QuickSelect,124881
50000,LazySelect,219487
50000,QuickSelect,106674
50000,LazySelect,202135
50000,QuickSelect,167094
50000,LazySelect,205966
50000,QuickSelect,190237
50000,LazySelect,202629
50000,QuickSelect,164291
50000,LazySelect,230024
50000,QuickSelect,155505
50000,LazySelect,226434
50000,QuickSelect,213940
50000,LazySelect,224922
50000,QuickSelect,151957
50000,LazySelect,202349
50000,QuickSelect,108132
50000,LazySelect,217047
50000,QuickSelect,120830
50000,LazySelect,228259
50000,QuickSelect,179196
50000,LazySelect,217299
50000,QuickSelect,78244
50000,LazySelect,238408
50000,QuickSelect,150821
50000,LazySelect,218191
50000,QuickSelect,213273
50000,LazySelect,208971
50000,QuickSelect,189962
50000,LazySelect,221695
50000,QuickSelect,174786
50000,LazySelect,211700
50000,QuickSelect,154676
50000,LazySelect,190405
50000,QuickSelect,135709
50000,LazySelect,230100
50000,QuickSelect,93387
50000,LazySelect,235233
50000,QuickSelect,140169
50000,LazySelect,215391
50000,QuickSelect,164243
50000,LazySelect,207931
50000,QuickSelect,280765
50000,LazySelect,158610
50000,QuickSelect,269206
50000,LazySelect,201641
50000,QuickSelect,120006
50000,LazySelect,218934
50000,QuickSelect,96862
50000,LazySelect,235377
50000,QuickSelect,84650
50000,LazySelect,225382
50000,QuickSelect,131794
50000,LazySelect,228960
50000,QuickSelect,166362
50000,LazySelect,186067
50000,QuickSelect,123374
50000,LazySelect,211321
50000,QuickSelect,211320
50000,LazySelect,201598
50000,QuickSelect,204486
50000,LazySelect,211284
50000,QuickSelect,179687
50000,LazySelect,196584
50000,QuickSelect,124009
50000,LazySelect,156516
50000,QuickSelect,109986
50000,LazySelect,236906
50000,QuickSelect,207732
50000,LazySelect,199057
50000,QuickSelect,99361
50000,LazySelect,199872
50000,QuickSelect,64192
50000,LazySelect,151906
50000,QuickSelect,146390
50000,LazySelect,214050
50000,QuickSelect,97404
50000,LazySelect,213118
50000,QuickSelect,159613
50000,LazySelect,228192
50000,QuickSelect,173778
50000,LazySelect,193656
50000,QuickSelect,163840
50000,LazySelect,223078
50000,QuickSelect,94717
50000,LazySelect,225952
50000,QuickSelect,156356
50000,LazySelect,225844
50000,QuickSelect,216257
50000,LazySelect,221967
50000,QuickSelect,162830
50000,LazySelect,185980
50000,QuickSelect,151899
50000,LazySelect,198470
50000,QuickSelect,114015
50000,LazySelect,210697
50000,QuickSelect,111838
50000,LazySelect,225877
50000,QuickSelect,270131
50000,LazySelect,223673
50000,QuickSelect,155854
50000,LazySelect,197014
50000,QuickSelect,94343
50000,LazySelect,221292
50000,QuickSelect,103534
50000,LazySelect,207645
50000,QuickSelect,95050
50000,LazySelect,191641
50000,QuickSelect,228832
50000,LazySelect,182068
50000,QuickSelect,73538
50000,LazySelect,196336
50000,QuickSelect,208303
50000,LazySelect,221361
50000,QuickSelect,122797
50000,LazySelect,207205
50000,QuickSelect,162471
50000,LazySelect,197464
50000,QuickSelect,99651
50000,LazySelect,218556
50000,QuickSelect,200654
50000,LazySelect,203487
50000,QuickSelect,181239
50000,LazySelect,211426
50000,QuickSelect,140580
50000,LazySelect,230107
50000,QuickSelect,88407
50000,LazySelect,223937
50000,QuickSelect,129513
50000,LazySelect,228160
50000,QuickSelect,91732
50000,LazySelect,194138
50000,QuickSelect,125060
50000,LazySelect,230325
50000,QuickSelect,174093
50000,LazySelect,217547
50000,QuickSelect,176598
50000,LazySelect,220543
50000,QuickSelect,179390
50000,LazySelect,231030
50000,QuickSelect,192411
50000,LazySelect,207766
50000,QuickSelect,158540
50000,LazySelect,220568
50000,QuickSelect,131372
50000,LazySelect,192554
50000,QuickSelect,165546
50000,LazySelect,192473
50000,QuickSelect,155134
50000,LazySelect,215470
50000,QuickSelect,130847
50000,LazySelect,218386
50000,QuickSelect,105070
50000,LazySelect,208553
50000,QuickSelect,223734
50000,LazySelect,198456
50000,QuickSelect,90664
50000,LazySelect,207511
50000,QuickSelect,204381
50000,LazySelect,211158
50000,QuickSelect,109865
50000,LazySelect,230044
50000,QuickSelect,141665
50000,LazySelect,199682
50000,QuickSelect,143746
50000,LazySelect,217616
50000,QuickSelect,118551
50000,LazySelect,224263
50000,QuickSelect,112732
50000,LazySelect,230138
50000,QuickSelect,117179
50000,LazySelect,215401
50000,QuickSelect,144804
50000,LazySelect,202730
50000,QuickSelect,167031
50000,LazySelect,204689
50000,QuickSelect,184531
50000,LazySelect,213480
50000,QuickSelect,168440
50000,LazySelect,228714
50000,QuickSelect,140373
50000,LazySelect,218555
50000,QuickSelect,79886
50000,LazySelect,204962
50000,QuickSelect,123632
50000,LazySelect,202204
50000,QuickSelect,111007
50000,LazySelect,208445
50000,QuickSelect,95372
50000,LazySelect,204057
50000,QuickSelect,181133
50000,LazySelect,214512
100000,QuickSelect,425889
100000,LazySelect,364881
100000,QuickSelect,412492
100000,LazySelect,388212
100000,QuickSelect,540504
100000,LazySelect,420430
100000,QuickSelect,211017
100000,LazySelect,434331
100000,QuickSelect,385654
100000,LazySelect,426336
100000,QuickSelect,233420
100000,LazySelect,402925
100000,QuickSelect,452303
100000,LazySelect,353748
100000,QuickSelect,154581
100000,LazySelect,420136
100000,QuickSelect,366249
100000,LazySelect,403008
100000,QuickSelect,394216
100000,LazySelect,362221
100000,QuickSelect,359936
100000,LazySelect,388215
100000,QuickSelect,368025
100000,LazySelect,392737
100000,QuickSelect,293831
100000,LazySelect,376321
100000,QuickSelect,388936
100000,LazySelect,415401
100000,QuickSelect,336863
100000,LazySelect,369730
100000,QuickSelect,280120
100000,LazySelect,406732
100000,QuickSelect,350560
100000,LazySelect,364773
100000,QuickSelect,425337
100000,LazySelect,355297
100000,QuickSelect,351870
100000,LazySelect,366198
100000,QuickSelect,308538
