List Size,Algorithm,Runtime (ms)
5000,QuickSelect,0
5000,LazySelect,0
5000,QuickSelect,0
5000,LazySelect,0
5000,QuickSelect,0
5000,LazySelect,0
5000,QuickSelect,0
5000,LazySelect,0
5000,QuickSelect,0
5000,LazySelect,0
5000,QuickSelect,0
5000,LazySelect,0
5000,QuickSelect,0
5000,LazySelect,0
5000,QuickSelect,0
5000,LazySelect,0
5000,QuickSelect,0
5000,LazySelect,0
5000,QuickSelect,0
5000,LazySelect,0
5000,QuickSelect,0
5000,LazySelect,0
5000,QuickSelect,0
5000,LazySelect,0
5000,QuickSelect,0
5000,LazySelect,0
5000,QuickSelect,0
5000,LazySelect,0
5000,QuickSelect,0
5000,LazySelect,0
5000,QuickSelect,0
5000,LazySelect,0
5000,QuickSelect,0
5000,LazySelect,0
5000,QuickSelect,0
5000,LazySelect,0
5000,QuickSelect,0
5000,LazySelect,0
5000,QuickSelect,0
5000,LazySelect,0
5000,QuickSelect,0
5000,LazySelect,0
5000,QuickSelect,0
5000,LazySelect,0
5000,QuickSelect,0
5000,LazySelect,0
5000,QuickSelect,0
5000,LazySelect,0
5000,QuickSelect,0
5000,LazySelect,0
5000,QuickSelect,0
5000,LazySelect,0
5000,QuickSelect,0
5000,LazySelect,0
5000,QuickSelect,0
5000,LazySelect,0
5000,QuickSelect,0
5000,LazySelect,0
5000,QuickSelect,0
5000,LazySelect,0
5000,QuickSelect,0
5000,LazySelect,0
5000,QuickSelect,0
5000,LazySelect,0
5000,QuickSelect,0
5000,LazySelect,0
5000,QuickSelect,0
5000,LazySelect,0
5000,QuickSelect,0
5000,LazySelect,0
5000,QuickSelect,0
5000,LazySelect,0
5000,QuickSelect,0
5000,LazySelect,0
5000,QuickSelect,0
5000,LazySelect,0
5000,QuickSelect,0
5000,LazySelect,0
5000,QuickSelect,0
5000,LazySelect,0
5000,QuickSelect,0
5000,LazySelect,0
5000,QuickSelect,0
5000,LazySelect,0
5000,QuickSelect,0
5000,LazySelect,0
5000,QuickSelect,0
5000,LazySelect,0
5000,QuickSelect,0
5000,LazySelect,0
5000,QuickSelect,0
5000,LazySelect,0
5000,QuickSelect,0
5000,LazySelect,0
5000,QuickSelect,0
5000,LazySelect,0
5000,QuickSelect,0
5000,LazySelect,0
5000,QuickSelect,0
5000,LazySelect,0
5000,QuickSelect,0
5000,LazySelect,0
5000,QuickSelect,0
5000,LazySelect,0
5000,QuickSelect,0
5000,LazySelect,0
5000,QuickSelect,0
5000,LazySelect,0
5000,QuickSelect,0
5000,LazySelect,0
5000,QuickSelect,0
5000,LazySelect,0
5000,QuickSelect,0
5000,LazySelect,0
5000,QuickSelect,0
5000,LazySelect,0
5000,QuickSelect,0
5000,LazySelect,0
5000,QuickSelect,0
5000,LazySelect,0
5000,QuickSelect,0
5000,LazySelect,0
5000,QuickSelect,0
5000,LazySelect,0
5000,QuickSelect,0
5000,LazySelect,0
5000,QuickSelect,0
5000,LazySelect,0
5000,QuickSelect,0
5000,LazySelect,0
5000,QuickSelect,0
5000,LazySelect,0
5000,QuickSelect,0
5000,LazySelect,0
5000,QuickSelect,0
5000,LazySelect,0
5000,QuickSelect,0
5000,LazySelect,0
5000,QuickSelect,0
5000,LazySelect,0
5000,QuickSelect,0
5000,LazySelect,0
5000,QuickSelect,0
5000,LazySelect,0
5000,QuickSelect,0
5000,LazySelect,0
5000,QuickSelect,0
5000,LazySelect,0
5000,QuickSelect,0
5000,LazySelect,0
5000,QuickSelect,0
5000,LazySelect,0
5000,QuickSelect,0
