List Size,Algorithm,Runtime (ms)
200000,QuickSelect,41
200000,LazySelect,23
200000,QuickSelect,19
200000,LazySelect,23
200000,QuickSelect,9
200000,LazySelect,23
200000,QuickSelect,9
200000,LazySelect,23
200000,QuickSelect,18
200000,LazySelect,24
200000,QuickSelect,13
200000,LazySelect,21
200000,QuickSelect,10
200000,LazySelect,22
200000,QuickSelect,14
200000,LazySelect,20
200000,QuickSelect,17
200000,LazySelect,25
200000,QuickSelect,34
200000,LazySelect,23
200000,QuickSelect,18
200000,LazySelect,23
200000,QuickSelect,15
200000,LazySelect,16
200000,QuickSelect,13
200000,LazySelect,23
200000,QuickSelect,11
200000,LazySelect,22
200000,QuickSelect,15
200000,LazySelect,22
200000,QuickSelect,23
200000,LazySelect,23
200000,QuickSelect,10
200000,LazySelect,25
200000,QuickSelect,14
200000,LazySelect,22
200000,QuickSelect,37
200000,LazySelect,24
200000,QuickSelect,20
200000,LazySelect,23
200000,QuickSelect,11
200000,LazySelect,23
200000,QuickSelect,31
200000,LazySelect,22
200000,QuickSelect,23
200000,LazySelect,23
200000,QuickSelect,23
200000,LazySelect,22
200000,QuickSelect,14
200000,LazySelect,22
200000,QuickSelect,12
200000,LazySelect,23
200000,QuickSelect,18
200000,LazySelect,24
200000,QuickSelect,15
200000,LazySelect,22
200000,QuickSelect,16
200000,LazySelect,22
200000,QuickSelect,8
200000,LazySelect,26
200000,QuickSelect,29
200000,LazySelect,24
200000,QuickSelect,18
200000,LazySelect,21
200000,QuickSelect,11
200000,LazySelect,18
200000,QuickSelect,12
200000,LazySelect,23
200000,QuickSelect,18
200000,LazySelect,23
200000,QuickSelect,11
200000,LazySelect,21
200000,QuickSelect,22
200000,LazySelect,23
200000,QuickSelect,14
200000,LazySelect,23
200000,QuickSelect,15
200000,LazySelect,22
200000,QuickSelect,21
200000,LazySelect,22
200000,QuickSelect,20
200000,LazySelect,23
200000,QuickSelect,6
200000,LazySelect,18
200000,QuickSelect,21
200000,LazySelect,22
200000,QuickSelect,25
200000,LazySelect,23
200000,QuickSelect,17
200000,LazySelect,22
200000,QuickSelect,19
200000,LazySelect,22
200000,QuickSelect,21
200000,LazySelect,19
200000,QuickSelect,15
200000,LazySelect,23
200000,QuickSelect,13
200000,LazySelect,22
200000,QuickSelect,20
200000,LazySelect,23
200000,QuickSelect,19
200000,LazySelect,23
200000,QuickSelect,14
200000,LazySelect,23
