List Size,Algorithm,Runtime (ms)
2000,QuickSelect,0
2000,LazySelect,0
2000,QuickSelect,0
2000,LazySelect,0
2000,QuickSelect,0
2000,LazySelect,0
2000,QuickSelect,0
2000,LazySelect,0
2000,QuickSelect,0
2000,LazySelect,0
2000,QuickSelect,0
2000,LazySelect,0
2000,QuickSelect,0
2000,LazySelect,0
2000,QuickSelect,0
2000,LazySelect,0
2000,QuickSelect,0
2000,LazySelect,0
2000,QuickSelect,0
2000,LazySelect,0
2000,QuickSelect,0
2000,LazySelect,0
2000,QuickSelect,0
2000,LazySelect,0
2000,QuickSelect,0
2000,LazySelect,0
2000,QuickSelect,0
2000,LazySelect,0
2000,QuickSelect,0
2000,LazySelect,0
2000,QuickSelect,0
2000,LazySelect,0
2000,QuickSelect,0
2000,LazySelect,0
2000,QuickSelect,0
2000,LazySelect,0
2000,QuickSelect,0
2000,LazySelect,0
2000,QuickSelect,0
2000,LazySelect,0
2000,QuickSelect,0
2000,LazySelect,0
2000,QuickSelect,0
2000,LazySelect,0
2000,QuickSelect,0
2000,LazySelect,0
2000,QuickSelect,0
2000,LazySelect,0
2000,QuickSelect,0
2000,LazySelect,0
2000,QuickSelect,0
2000,LazySelect,0
2000,QuickSelect,0
2000,LazySelect,0
2000,QuickSelect,0
2000,LazySelect,0
2000,QuickSelect,0
2000,LazySelect,0
2000,QuickSelect,0
2000,LazySelect,0
2000,QuickSelect,0
2000,LazySelect,0
2000,QuickSelect,0
2000,LazySelect,0
2000,QuickSelect,0
2000,LazySelect,0
2000,QuickSelect,0
2000,LazySelect,0
2000,QuickSelect,0
2000,LazySelect,0
2000,QuickSelect,0
2000,LazySelect,0
2000,QuickSelect,0
2000,LazySelect,0
2000,QuickSelect,0
2000,LazySelect,0
2000,QuickSelect,0
2000,LazySelect,0
2000,QuickSelect,0
2000,LazySelect,0
2000,QuickSelect,0
2000,LazySelect,0
2000,QuickSelect,0
2000,LazySelect,0
2000,QuickSelect,0
2000,LazySelect,0
2000,QuickSelect,0
2000,LazySelect,0
2000,QuickSelect,0
2000,LazySelect,0
2000,QuickSelect,0
2000,LazySelect,0
2000,QuickSelect,0
2000,LazySelect,0
2000,QuickSelect,0
2000,LazySelect,0
2000,QuickSelect,0
2000,LazySelect,0
2000,QuickSelect,0
2000,LazySelect,0
2000,QuickSelect,0
2000,LazySelect,0
2000,QuickSelect,0
2000,LazySelect,0
2000,QuickSelect,0
2000,LazySelect,0
2000,QuickSelect,0
2000,LazySelect,0
2000,QuickSelect,0
2000,LazySelect,0
2000,QuickSelect,0
2000,LazySelect,0
2000,QuickSelect,0
2000,LazySelect,0
2000,QuickSelect,0
2000,LazySelect,0
2000,QuickSelect,0
2000,LazySelect,0
2000,QuickSelect,0
2000,LazySelect,0
2000,QuickSelect,0
2000,LazySelect,0
2000,QuickSelect,0
2000,LazySelect,0
2000,QuickSelect,0
2000,LazySelect,0
2000,QuickSelect,0
2000,LazySelect,0
2000,QuickSelect,0
2000,LazySelect,0
2000,QuickSelect,0
2000,LazySelect,0
2000,QuickSelect,0
2000,LazySelect,0
2000,QuickSelect,0
2000,LazySelect,0
2000,QuickSelect,0
2000,LazySelect,0
2000,QuickSelect,0
2000,LazySelect,0
2000,QuickSelect,0
2000,LazySelect,0
2000,QuickSelect,0
2000,LazySelect,0
2000,QuickSelect,0
2000,LazySelect,0
2000,QuickSelect,0
2000,LazySelect,0
2000,QuickSelect,0
2000,LazySelect,0
2000,QuickSelect,0
2000,LazySelect,0
2000,QuickSelect,0
2000,LazySelect,0
2000,QuickSelect,0
2000,LazySelect,0
2000,QuickSelect,0
2000,LazySelect,0
2000,QuickSelect,0
2000,LazySelect,0
2000,QuickSelect,0
2000,LazySelect,0
2000,QuickSelect,0
2000,LazySelect,0
2000,QuickSelect,0
2000,LazySelect,0
2000,QuickSelect,0
2000,LazySelect,0
2000,QuickSelect,0
2000,LazySelect,0
2000,QuickSelect,0
2000,LazySelect,0
2000,QuickSelect,0
2000,LazySelect,0
2000,QuickSelect,0
2000,LazySelect,0
2000,QuickSelect,0
2000,LazySelect,0
2000,QuickSelect,0
2000,LazySelect,0
2000,QuickSelect,0
2000,LazySelect,0
2000,QuickSelect,0
2000,LazySelect,0
2000,QuickSelect,0
2000,LazySelect,0
2000,QuickSelect,0
2000,LazySelect,0
2000,QuickSelect,0
2000,LazySelect,0
2000,QuickSelect,0
2000,LazySelect,0
2000,QuickSelect,0
2000,LazySelect,0
2000,QuickSelect,0
2000,LazySelect,0
2000,QuickSelect,0
2000,LazySelect,0
2000,QuickSelect,0
2000,LazySelect,0
4000,QuickSelect,0
4000,LazySelect,0
4000,QuickSelect,0
4000,LazySelect,1
4000,QuickSelect,0
4000,LazySelect,0
4000,QuickSelect,0
4000,LazySelect,0
4000,QuickSelect,0
4000,LazySelect,0
4000,QuickSelect,0
4000,LazySelect,0
4000,QuickSelect,0
4000,LazySelect,0
4000,QuickSelect,0
4000,LazySelect,0
4000,QuickSelect,0
4000,LazySelect,0
4000,QuickSelect,0
4000,LazySelect,0
4000,QuickSelect,0
4000,LazySelect,0
4000,QuickSelect,0
4000,LazySelect,0
4000,QuickSelect,0
4000,LazySelect,0
4000,QuickSelect,0
4000,LazySelect,0
4000,QuickSelect,0
4000,LazySelect,0
4000,QuickSelect,0
4000,LazySelect,0
4000,QuickSelect,0
4000,LazySelect,0
4000,QuickSelect,0
4000,LazySelect,0
4000,QuickSelect,0
4000,LazySelect,0
4000,QuickSelect,0
4000,LazySelect,0
4000,QuickSelect,0
4000,LazySelect,1
4000,QuickSelect,0
4000,LazySelect,0
4000,QuickSelect,0
4000,LazySelect,1
4000,QuickSelect,0
4000,LazySelect,0
4000,QuickSelect,0
4000,LazySelect,0
4000,QuickSelect,0
4000,LazySelect,0
4000,QuickSelect,0
4000,LazySelect,0
4000,QuickSelect,0
4000,LazySelect,0
4000,QuickSelect,0
4000,LazySelect,0
4000,QuickSelect,0
4000,LazySelect,0
4000,QuickSelect,0
4000,LazySelect,0
4000,QuickSelect,0
4000,LazySelect,0
4000,QuickSelect,0
4000,LazySelect,0
4000,QuickSelect,0
4000,LazySelect,0
4000,QuickSelect,0
4000,LazySelect,0
4000,QuickSelect,0
4000,LazySelect,0
4000,QuickSelect,0
4000,LazySelect,0
4000,QuickSelect,0
4000,LazySelect,0
4000,QuickSelect,0
4000,LazySelect,0
4000,QuickSelect,0
4000,LazySelect,0
4000,QuickSelect,0
4000,LazySelect,0
4000,QuickSelect,0
4000,LazySelect,0
4000,QuickSelect,0
4000,LazySelect,0
4000,QuickSelect,0
4000,LazySelect,0
4000,QuickSelect,0
4000,LazySelect,0
4000,QuickSelect,0
4000,LazySelect,0
4000,QuickSelect,0
4000,LazySelect,0
4000,QuickSelect,0
4000,LazySelect,0
4000,QuickSelect,0
4000,LazySelect,0
4000,QuickSelect,0
4000,LazySelect,0
4000,QuickSelect,0
4000,LazySelect,0
4000,QuickSelect,0
4000,LazySelect,0
4000,QuickSelect,0
4000,LazySelect,0
4000,QuickSelect,0
4000,LazySelect,0
4000,QuickSelect,0
4000,LazySelect,0
4000,QuickSelect,0
4000,LazySelect,0
4000,QuickSelect,0
4000,LazySelect,0
4000,QuickSelect,0
4000,LazySelect,0
4000,QuickSelect,0
4000,LazySelect,0
4000,QuickSelect,0
4000,LazySelect,0
4000,QuickSelect,0
4000,LazySelect,0
4000,QuickSelect,0
4000,LazySelect,0
4000,QuickSelect,0
4000,LazySelect,0
4000,QuickSelect,0
4000,LazySelect,0
4000,QuickSelect,0
4000,LazySelect,0
4000,QuickSelect,0
4000,LazySelect,0
4000,QuickSelect,0
4000,LazySelect,0
4000,QuickSelect,0
4000,LazySelect,0
4000,QuickSelect,0
4000,LazySelect,0
4000,QuickSelect,0
4000,LazySelect,0
4000,QuickSelect,0
4000,LazySelect,0
4000,QuickSelect,0
4000,LazySelect,0
4000,QuickSelect,0
4000,LazySelect,0
4000,QuickSelect,0
4000,LazySelect,0
4000,QuickSelect,0
4000,LazySelect,0
4000,QuickSelect,0
4000,LazySelect,0
4000,QuickSelect,0
4000,LazySelect,0
4000,QuickSelect,0
4000,LazySelect,0
4000,QuickSelect,0
4000,LazySelect,0
4000,QuickSelect,0
4000,LazySelect,0
4000,QuickSelect,0
4000,LazySelect,0
4000,QuickSelect,0
4000,LazySelect,0
4000,QuickSelect,0
4000,LazySelect,0
4000,QuickSelect,0
4000,LazySelect,0
4000,QuickSelect,0
4000,LazySelect,0
4000,QuickSelect,0
4000,LazySelect,0
4000,QuickSelect,0
4000,LazySelect,0
4000,QuickSelect,0
4000,LazySelect,0
4000,QuickSelect,0
4000,LazySelect,0
4000,QuickSelect,0
4000,LazySelect,0
4000,QuickSelect,0
4000,LazySelect,0
4000,QuickSelect,0
4000,LazySelect,0
4000,QuickSelect,0
4000,LazySelect,0
4000,QuickSelect,0
4000,LazySelect,0
4000,QuickSelect,0
4000,LazySelect,0
4000,QuickSelect,0
4000,LazySelect,0
4000,QuickSelect,0
4000,LazySelect,0
4000,QuickSelect,0
4000,LazySelect,0
4000,QuickSelect,0
4000,LazySelect,0
4000,QuickSelect,0
4000,LazySelect,0
6000,QuickSelect,0
6000,LazySelect,1
6000,QuickSelect,0
6000,LazySelect,0
6000,QuickSelect,0
6000,LazySelect,1
6000,QuickSelect,0
6000,LazySelect,1
6000,QuickSelect,0
6000,LazySelect,1
6000,QuickSelect,0
6000,LazySelect,1
6000,QuickSelect,0
6000,LazySelect,1
6000,QuickSelect,0
6000,LazySelect,1
6000,QuickSelect,0
6000,LazySelect,1
6000,QuickSelect,0
6000,LazySelect,1
6000,QuickSelect,0
6000,LazySelect,1
6000,QuickSelect,0
6000,LazySelect,1
6000,QuickSelect,1
6000,LazySelect,1
6000,QuickSelect,0
6000,LazySelect,1
6000,QuickSelect,0
6000,LazySelect,1
6000,QuickSelect,0
6000,LazySelect,1
6000,QuickSelect,0
6000,LazySelect,1
6000,QuickSelect,0
6000,LazySelect,1
6000,QuickSelect,0
6000,LazySelect,1
6000,QuickSelect,0
6000,LazySelect,1
6000,QuickSelect,0
6000,LazySelect,0
6000,QuickSelect,0
6000,LazySelect,1
6000,QuickSelect,0
6000,LazySelect,1
6000,QuickSelect,0
6000,LazySelect,1
6000,QuickSelect,0
6000,LazySelect,1
6000,QuickSelect,0
6000,LazySelect,1
6000,QuickSelect,0
6000,LazySelect,1
6000,QuickSelect,0
6000,LazySelect,1
6000,QuickSelect,0
6000,LazySelect,1
6000,QuickSelect,0
6000,LazySelect,1
6000,QuickSelect,0
6000,LazySelect,1
6000,QuickSelect,0
6000,LazySelect,1
6000,QuickSelect,0
6000,LazySelect,1
6000,QuickSelect,0
6000,LazySelect,0
6000,QuickSelect,0
6000,LazySelect,1
6000,QuickSelect,0
6000,LazySelect,1
6000,QuickSelect,0
6000,LazySelect,1
6000,QuickSelect,0
6000,LazySelect,1
6000,QuickSelect,0
6000,LazySelect,1
6000,QuickSelect,0
6000,LazySelect,1
6000,QuickSelect,0
6000,LazySelect,1
6000,QuickSelect,0
6000,LazySelect,1
6000,QuickSelect,0
6000,LazySelect,0
6000,QuickSelect,0
6000,LazySelect,1
6000,QuickSelect,0
6000,LazySelect,1
6000,QuickSelect,0
6000,LazySelect,0
6000,QuickSelect,0
6000,LazySelect,0
6000,QuickSelect,0
6000,LazySelect,1
6000,QuickSelect,0
6000,LazySelect,1
6000,QuickSelect,0
6000,LazySelect,1
6000,QuickSelect,0
6000,LazySelect,1
6000,QuickSelect,0
6000,LazySelect,1
6000,QuickSelect,0
6000,LazySelect,1
6000,QuickSelect,0
6000,LazySelect,1
6000,QuickSelect,0
6000,LazySelect,1
6000,QuickSelect,0
6000,LazySelect,1
6000,QuickSelect,0
6000,LazySelect,1
6000,QuickSelect,0
6000,LazySelect,1
6000,QuickSelect,0
6000,LazySelect,1
